case_id,source_tweet_id,sampling_bucket,customer_message,apple_response,customer_followup,annotator_intent,conversation_state,expected_action,confidence,notes,risk_flags,backup_restore_related,data_loss,secondary_intent,feedback_request,customer_claim,observed_symptom,confirmed_cause,working_hypothesis,annotation_provenance,annotation_reason,taxonomy_gap
APPLE_GOLD_0011,582792,IOS_UPDATE,"Just updated to iOS 11.2 on 6s but unfortunately I cannot find any set-up for Apply Pay Cash. Followed the instructions (Settings &gt; Wallet &amp; Apple Pay, Tap the Apple Pay Cash card, then follow the onscreen instructions) but still no set-up option. Any help @AppleSupport @115858 https://t.co/d60grvOpvD","@257420 If you're in the US, those features will require iOS 11.2 and will begin rolling out early next week.",,APP_SERVICE,INFORMATION_REQUEST,CLARIFY,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,Apple Pay Cash setup is an Apple service feature; the response requests the user's region/eligibility context.,
APPLE_GOLD_0012,81789,IOS_UPDATE,"@AppleSupport I am an all out apple user and just got the I phone X (256Gb) which came with a bunch of issues. 
The phone always heats up while making a call or watching Videos. 
The battery drains out and barely lasts me for 3 hours. 
The messenger app is erratic and needs an update. https://t.co/CPTkTz5eSJ",@821957 We're happy to help. We've received your DM and will work with you there.,,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.93,,[],False,False,,False,,,,,SOURCE_REVIEW,Heating and severe battery drain are dominant device-level symptoms; Messenger is a secondary issue.,
APPLE_GOLD_0013,493559,IOS_UPDATE,"@115858 I decide to do your #OSHighSierra and this happened! I am also video-recording this upgrade process on my iPad if more problematic situations happen, like with my previous experience upgrading to Sierra.
I am very upset about this &amp; my gut told me this would happen!WHY?!😓 https://t.co/fl8lf1qPZv",@232665 Thanks for reaching out. We can definitely look into this with you. Is your Mac still in the process of updating or has it stopped?,"@AppleSupport It seems to be updating, but the screen is still that same problematic display",SOFTWARE_UPDATE,TROUBLESHOOTING,CLARIFY,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,The Mac is still in the middle of the High Sierra update and the display remains problematic; Apple asks a key troubleshooting discriminator.,
APPLE_GOLD_0014,101234,IOS_UPDATE,"@AppleSupport leg dit even uit? Dit is mijn oud e-mail adress/apple id, sinds een recente update krijg ik constant deze melding. Ik heb sinds paar jaar een nieuw e-mail adres en ook een apple id op dit adres. Ik was (nog altijd) het wachtwoord kwijt van het oude e-mail &amp; apple-id https://t.co/5GWgrlFu74",@138153 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,"@AppleSupport Since a recent update i’m constantly getting these notifications about my old apple ID /e-mail adress, wich i’ve lost the pw years ago. I allready got a new account and e-mail, but it doesn’t appear anywhere, alltho i can still acces the app store etc..",ACCOUNT_ICLOUD,TROUBLESHOOTING,CLARIFY,0.98,,[],False,False,,False,,,,,SOURCE_REVIEW,Repeated prompts for an old Apple ID/password are an account-identity issue; the recent update is context.,
APPLE_GOLD_0015,517201,IOS_UPDATE,"@AppleSupport i have my iphone 6S and ios 11.1.2 this just happened this morning when i woke up. it happens like this:
when charging &amp; not using apps -happens
when charging &amp; using an apps -happens
not charging &amp; using an apps -happens
not charging &amp; not using an apps -so far not happening.",@239246 Which country are you located within? Please let us know in DM here: https://t.co/GDrqU2kzhr,,OTHER_UNCLEAR,INFORMATION_REQUEST,CLARIFY,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,"The customer describes a reproducible but unspecified event without identifying the actual symptom, so the taxonomy cannot safely determine a primary intent.",
APPLE_GOLD_0016,2286455,IOS_UPDATE,@AppleSupport iOS 11.1.1 I’ve been on and off with your call center for 4 hours they escalated the case not sure if the last guy used the same case Id as the first but it’s 20000002763703 and this is what happened. I can send iMessages from the email but it won’t do my phone number https://t.co/AdR082043V,@595536 Thanks for letting us know. We recommend deleting the Tweet with your personal email information. Send us a DM using the link below and we'll continue to assist. https://t.co/GDrqU22YpT,,APP_SERVICE,FAILED_TROUBLESHOOTING,ESCALATE,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,"iMessage works from the email identity but not the phone number, and the customer says the call-center case was already escalated.",
APPLE_GOLD_0017,2716153,IOS_UPDATE,Downloaded the most up-to-date IOS etc. @115858 Notes are completely ef’d in the eh now. The cursor jumps to wherever it wants and the logic we all use to write has been completely thrown out the window. Please fix this apple. Your (simple) Notes app has historically been BS free. https://t.co/3tvDIIWy9p,"@762435 We want to help find out what is happening with Notes. To start, can you tell us which device you’re using right now?",@AppleSupport 132g Iphone 6S,INPUT_DISPLAY,INFORMATION_REQUEST,CLARIFY,0.98,,[],False,False,,False,,,,,SOURCE_REVIEW,The Notes cursor jumps unpredictably and disrupts text entry; Apple asks for the device model as the next discriminator.,
APPLE_GOLD_0018,2403802,IOS_UPDATE,"@691479 @AppleSupport I face issue with orientation, after playing game like coc and coming back to home screen my notifications and control center are accessible from left and right or other way. And when apps are getting updated my phone heats up a lot. Regret updating to ios11🤐 https://t.co/tgoIkTGBh4",@748070 Thanks for contacting us. We'd like to help out the best we can. Could you please tell us which ios version you're running? This can be found by going to: Settings &gt; General &gt; About.,@AppleSupport iPhone 6s iOS 11.1.1,OTHER_UNCLEAR,INFORMATION_REQUEST,ESCALATE,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,Two independent symptom domains are present: orientation/UI behavior and severe heating during app updates; this is a multi-issue case.,
APPLE_GOLD_0019,2126068,IOS_UPDATE,"Dude, what the hell? @115858 ... are you punishing those of us who aren't updating? Or are even the updated systems seeing these insane syntax errors? As a writer, it's tough to absorb these packages of communication. Love you guys, just challenging the ruling on the field here... https://t.co/xAwXK4vE81",@626095 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xU1AGHStV6,,INPUT_DISPLAY,INFORMATION_REQUEST,AUTO_HANDLE,0.91,,[],False,False,,False,,,,,SOURCE_REVIEW,The complaint concerns malformed/syntax-like text rendering; Apple provides a workaround that can be followed without further case-specific information.,
APPLE_GOLD_0020,2889514,IOS_UPDATE,@AppleSupport Been facing this weird animation bug on iMessage and mail app ever since I updated to ios 11 on my iPhone 6 which has now carried over to my iPhone X. Only a reboot fixes this! I have tried resetting my settings but to no avail.Been driving me crazy!Any suggestions? https://t.co/QpvFZimUwJ,"@801143 We would be happy to help. Did you notice this happening right after purchasing the iPhone X or after some use? Was the iPhone X restored from your iPhone 6 backup? If so, was it an iTunes or iCloud backup?","@AppleSupport This issue was present even on my iPhone 6 and after updating to ios 11. After purchasing my iPhone X, I set it up from an iCloud backup of my iPhone 6. I still face the issue intermittently and it typically crops up every 2-3 days. It goes away only after rebooting the phone.",INPUT_DISPLAY,FAILED_TROUBLESHOOTING,ESCALATE,0.91,,[],False,False,,False,,,,,SOURCE_REVIEW,The problem is an intermittent UI animation/rendering bug across iMessage and Mail. The customer already tried resetting settings and the issue persists.,
APPLE_GOLD_0021,1702943,BATTERY_PERFORMANCE,@AppleSupport Well I cannot do that. That would be to lose 50 gigs of podcasts. It’s happening again. Why does it show this pluses? Why won’t it let me download anything? Everything still plays okay... why does it happen every morning and then it’s okay for a day? Also keeps crashing As per us https://t.co/cSCBoXIy2L,@516262 Got it. We don't want you to have to redownload that many data. Let's take a look to see what your next step would be in DM. https://t.co/GDrqU22YpT,,APP_SERVICE,FAILED_TROUBLESHOOTING,ESCALATE,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,"Podcast downloading is the primary service problem, with crashes as a secondary symptom; the customer explicitly cannot accept a destructive workaround.",
APPLE_GOLD_0022,2786452,BATTERY_PERFORMANCE,@AppleSupport Thanks for your respone this is the current version am running. Everytime am on an app ie social media it will freeze and I will b unable to do anything without closing and reopening the app. It isnt an app issue as it is the same for my homescreen too at times! Plz help! 🙏 thxs https://t.co/jS3YZFNg2h,"@777941 Got it. Let's start by closing any apps currently open, then performing a normal restart on the device. This can help with software issues.

How to force an app to close on your iPhone: https://t.co/uyzgez0J6G

Restart your iPhone: https://t.co/d59djUbfjV",@AppleSupport I did a reboot five minutes later am using my phone checking my email and the screen freezes is it because i am running ios11 on my iphone 7 and will there b another new update coming soon to fix these issues?,DEVICE_PERFORMANCE,FAILED_TROUBLESHOOTING,ESCALATE,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,"The customer reports freezes across apps and the home screen, and a reboot did not resolve the problem.",
APPLE_GOLD_0023,2278923,BATTERY_PERFORMANCE,"@AppleSupport Basically “turn it off and on again”? I work in IT, now I know how my users feel.......oh and as it happens it’s just done it as I was typing this, same thing that happens in safari, keyboard gone, doesn’t come back,then after a few seconds of hanging it restarts itself. https://t.co/qZ2x9j3Qdl","@507995 We understand your concern, and we want to do everything we can to help. In DM, please let us know the exact iOS version you're using. https://t.co/GDrqU22YpT",,DEVICE_PERFORMANCE,FAILED_TROUBLESHOOTING,ESCALATE,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,Keyboard disappearance followed by system hanging and an automatic restart is system-level behavior; the suggested basic step has already failed.,
APPLE_GOLD_0024,2739489,BATTERY_PERFORMANCE,"Dear @115858,
YOU MESSED UP! My phone isnt connecting through wifi. Even if it did, id still like an input in my laptop other than the USB-C (that non of ur products support btw)
Moreover, u have the old headphones jack in the laptop while ur latest headphones dont support it! Ffs https://t.co/GASpZlagrj",@767534 Thank you for reaching out. We understand the concern over not being able to sync your iPhone through Wi-Fi. It looks like you were working with our chat support. Were they able to resolve that issue? Let us know in DM. https://t.co/GDrqU22YpT,@AppleSupport I wont DM you and take the situation in private and not let the ppl know that the issue wasnt actually resolved. The support team asked me to go and buy a USB-C converter/cable and use it to solve the issue. Very practical of you @115858.,OTHER_UNCLEAR,FAILED_TROUBLESHOOTING,ESCALATE,0.99,,[],False,False,,False,,,,,SOURCE_REVIEW,"The case contains independent Wi-Fi connectivity, USB-C/port, and headphone-jack/accessory complaints, and prior support did not resolve the situation.",
APPLE_GOLD_0025,695356,BATTERY_PERFORMANCE,@AppleSupport When trying to open apps such as Whatsapp &amp; Facebook it takes a really long time to open &amp; load information. It also seems that the phone now cannot handle having more than one app open at a time and completely crashes resulting in having to shut all the apps down &amp; start again.,"@285847 That is never what we want to hear. Is Whatsapp and Facebook the only apps that have a delay when opening them? Also, when you have to close all the apps, are Whatsapp and Facebook open at that time as well? https://t.co/GDrqU22YpT",,DEVICE_PERFORMANCE,INFORMATION_REQUEST,CLARIFY,0.98,,[],False,False,,False,,,,,SOURCE_REVIEW,Slow app launches and crashes when multiple apps are open indicate broader device performance/resource behavior rather than one isolated app.,
APPLE_GOLD_0026,2205772,BATTERY_PERFORMANCE,"Hey @115858 @AppleSupport, you can keep ""secretly"" making the #BatteryLife on my #6s run out faster and faster as well as make the #iOS on my phone glitchy with these updates...🗣 IM STILL NOT GONNA BUY YOUR NEW PHONES UNTIL IT DOES SOMETHING NOTEWORTHY AND COOL!

#AnimojisAreDumb https://t.co/NG7bud0n3g","@644923 We're here to help and would like to look into what's going on with your iPhone 6s. We've just released iOS 11.1.1 for your iPhone, iPad, and iPod touch. Have you updated recently?",,OTHER_UNCLEAR,FAILED_TROUBLESHOOTING,ESCALATE,0.55,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0027,928062,BATTERY_PERFORMANCE,@AppleSupport my iPad Air 2 battery meter seems to be glitchy. Says I have low power &amp; when I plug it in jumps up by anything up to 20%. Sometimes it goes from 20% to 5% in second or like now on 3% for well over an hour of use including on YouTube. Software or hardware issue? https://t.co/iRaPBgK7Ha,@123124 We'd be happy to assist with your iPad today. Send us a DM to get started. https://t.co/GDrqU22YpT,,APP_SERVICE,TROUBLESHOOTING,CLARIFY,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0028,563034,BATTERY_PERFORMANCE,"@AppleSupport Still haven’t fixed the issues from 11.1.1 and 11.1.2?? It won’t let me make calls, take photos, use Siri, record videos, and so on.... I restart my phone and it works for 2 minutes then messes up again. I tried restoring. This is ridiculous I lost all functionality https://t.co/Qv3WtAJHG8",@251798 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0029,159577,BATTERY_PERFORMANCE,"@AppleSupport Is this acceptable #ios11 performance on #iphone6 ? In just 26 mins of Twitter use, lamenting on this mess, my battery used up 31%? And the repeated charging of a fast depleting battery is just further wrecking total battery lifespan, right? So it’s a double whammy! https://t.co/D3py1nTKRJ","@151807 Battery performance can depend on a variety of factors beyond the app being used, such as the type of data being used, signal strength and screen brightness to name a few. We've received your DM, look for our message so we can investigate further there.",,DEVICE_PERFORMANCE,TROUBLESHOOTING,CLARIFY,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0030,2750429,BATTERY_PERFORMANCE,"@AppleSupport I’m on the latest version of iOS 11 on my iPhone 6s Plus but the “ I “ glitch is still here

Also, battery life has been abysmal!!

As you can see it dropped 4% in 4 minutes despite no other apps running and mobile data off. Now I’m on 13% 9 minutes later - what??? https://t.co/loSX497cr8","@770036 We can help! Are you seeing the ""I"" issue when you type or as you view posts others have typed? Also, for your battery usage, please take a look at the following article for some guidance on maximizing your settings: https://t.co/bivpdfBNJ6",@AppleSupport The “I” issue only happens when I view posts others have typed and to be fair it doesn’t happen very often.,DEVICE_PERFORMANCE,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0031,2492319,BATTERY_PERFORMANCE,"@AppleSupport 
Hello, there is serious problem in iOS 11.1 and iOS 11.1.1
hundreds, maybe thousands of iPhones in our region are restarting by itself and stuck on apple logo
we have to restore it with recovery or back to iOS 11.0.3 to fix it
please take it seriously and solve it https://t.co/Szb0UkkoSo",@711524 Let's help take a closer look and get this resolved. Please DM us the country you're currently in and we can go from there. https://t.co/GDrqU22YpT,,ACCOUNT_ICLOUD,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0032,2301463,BATTERY_PERFORMANCE,"@AppleSupport @544612 iOS11 has been a living hell on my 6s. iOS9 was so smooth! My battery drains like 3-4x as fast now and everything stutters. Wtf #Apple! #iOS11 &gt;:( Pissed! So close to moving to the Pixel 2. Fk this shit. You guys had one job and one phone manufacturer, how did you stuff it up?!",@667926 We know how important battery life is. Click here to connect with us in DM. We'll pick up there: https://t.co/GDrqU22YpT,,DEVICE_PERFORMANCE,TROUBLESHOOTING,CLARIFY,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0033,2297634,BATTERY_PERFORMANCE,"@AppleSupport Hi there! I’m listening to music and out of no where the music stops and something else plays such as a 2 dings and/or an ad. This problem occurs within the music app and third party apps. Also, my iPhone is a lot slower and less responsive. Help! Screenshots below https://t.co/vOAxxUgHh2","@666999 We're glad you reached out to us today. Just to clarify, how long have you been experiencing this issue? Also, are you an Apple Music Member?","@AppleSupport It started yesterday last night, I restarted my phone then went to bed. I wake up this morning and it’s still doing it. Not an Apple Music member.",INPUT_DISPLAY,TROUBLESHOOTING,CLARIFY,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0034,2873396,BATTERY_PERFORMANCE,"@AppleSupport keep getting this message in activity after swimming with my Apple Watch “Data unavailable, there were not enough heart rate measurements to create a chart”. Have tried restarting, resyncing but nothing seems to work.  Cardiogram works fine and have good readings. https://t.co/z0rKI0ix0P",@797747 We'd be happy to take a look into this with you. Could you please send us a DM so we can gather some information and get started on this? https://t.co/GDrqU22YpT,,APP_SERVICE,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0035,2445248,BATTERY_PERFORMANCE,"Any problem reported last hours about #iPhone or #iOS? 
My #iPhone6 and my wife’s #iPhone7Plus got freezed on black screen for more than 3 hours at the same time!
@AppleSupport I have restored both devices after sometime of trying and finaly lost messages! Can you explain this? https://t.co/dmVtEBZt0Z","@701063 We'd love to look into that with you. Did this happen after any changes to the device? Do you have a recent backup in iCloud or iTunes of the device?  Let us know, and we'll help out.",,INPUT_DISPLAY,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0036,2412535,BATTERY_PERFORMANCE,@AppleSupport No error. Just need approval from another device and I never get anything on my phone. Also it keeps saying such &amp; such is trying to access keychain and no password works. Yes happening in system preferences. Tried to restart it &amp; now it won’t even log in. Stuck on a loading bar,"@693561 Good to know. Is your Mac still showing the loading bar? If so, let’s try restarting into safe mode to see if that will allow you to log in: https://t.co/PQ4LSYhUTY",@AppleSupport Booted in safe mode. Checked out disk utility and the HD isn’t mounted. I mounted it and ran first aid and first aid failed then the HD unmounted again,OTHER_UNCLEAR,FAILED_TROUBLESHOOTING,ESCALATE,0.55,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0037,2900387,BATTERY_PERFORMANCE,@115858 @116333 @AppleSupport please allow us iphone 5s users to downgrade to ios 10.3.3 or do something battery is draining so badly it sucks . Phone has become use less or less useable phone #ios11sucks . These stats are on power saving from 100% till here . I urge for this https://t.co/llfpgGndZJ,"@497377 While we're unable to assist with reverting to a previous version, we'd be happy to help with your battery. Please join us in DM so we may gather more details. https://t.co/GDrqU22YpT",,DEVICE_PERFORMANCE,TROUBLESHOOTING,CLARIFY,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0038,2286428,BATTERY_PERFORMANCE,@AppleSupport Yes it was restarted multiple times. Bluetooth connected for about 10 mins then completely dropped connection out of nowhere. Had to pull over and resync the phone to my car. Apple CarPlay was playing my music but the menu wouldn’t show the correct song or time. https://t.co/FIJhp94GBT,"@664375 Are any other Bluetooth devices, besides your car, showing issues with staying connected?",@AppleSupport Apple Watch series 3 on 4.1. Had to resync air pods as well.,OTHER_UNCLEAR,FAILED_TROUBLESHOOTING,ESCALATE,0.55,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0039,484579,BATTERY_PERFORMANCE,Yesterday I got security update for my #HighSierra system. After restarting it I was prompted for new password. So I changed it. Aand that was a mistake. I couldn't log in anymore. The funniest part is when I try to recover my password I get this. Thank you @115858 #justworks https://t.co/zTBeGojB9Y,"@230317 Let's get you back into your Mac as quickly as we can. What steps did you take when you attempted to recover your password, prior to getting this alert page? Do you recall if you have FileVault enabled or disabled? Meet up with us in DM to continue. https://t.co/GDrqU22YpT",,ACCOUNT_ICLOUD,TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0040,2584370,BATTERY_PERFORMANCE,"Ah @115858 with #highsierra you’ve done it again. My Mac. Elevated. My Mac is reliable (it crashed 3 times), capable (decided to disown the trackpad and keyboard) and responsive (froze for 30mins during the software update). But I like the pink really makes the screen pop. 🤩 https://t.co/DFB39CQOp1",@732350 We would like to help with this. Currently is the Mac still trying to update the software? DM us here: https://t.co/GDrqU22YpT,,INPUT_DISPLAY,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0041,486222,APP_SERVICE,"@AppleSupport Hey, ran the test, everything seems to be fine. I'm still experiencing sudden shut downs whenever I'm running a MS Office app. Could this have to do with this message (see attach) that I only started getting after installing High Sierra? I don't even know if I should open it...? https://t.co/ojikOvfRIC",@230681 DM us and we'll continue from there. https://t.co/GDrqU22YpT,,APP_SERVICE,FAILED_TROUBLESHOOTING,ESCALATE,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
APPLE_GOLD_0042,889163,APP_SERVICE,"@AppleSupport It’s not really an isolated thing though. This seems to happen to every playlist I make - even when, like I said, just adding tracks directly from Apple Music and avoiding my library (to avoid matching problems). This is another playlist, building in iTunes vs sharing on AM. https://t.co/6LIMboifpB",@331095 We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,,APP_SERVICE,TROUBLESHOOTING,CLARIFY,0.78,AI first-pass annotation; review against taxonomy/policy. Sampling bucket is not ground truth.,[],False,False,,False,,,,,,,
